task,family,k,acc_syn,acc_zs,acc_icl,acc_oracle,acc_naive,rho,rho_icl,eps,support_size
singular-plural,linguistic,4,0.96,0.04,0.9733333333333333,0.94,0.02,1.0222222222222221,0.9857142857142858,0.70924,3.4
synonym,linguistic,1,0.384,0.32,0.5866666666666667,0.52,0.36,0.32,0.24000000000000002,0.98744,3.2
synonym,linguistic,2,0.46799999999999997,0.32,0.5866666666666667,0.52,0.36,0.7399999999999998,0.5549999999999998,0.9514999999999999,3.6
synonym,linguistic,4,0.524,0.32,0.5866666666666667,0.52,0.36,1.02,0.765,0.84688,4.0
verb-from-list,selection,1,0.176,0.1,0.94,0.52,0.12,0.1809523809523809,0.09047619047619046,0.9475,4.2
verb-from-list,selection,2,0.272,0.1,0.94,0.52,0.12,0.4095238095238095,0.20476190476190478,0.8418800000000001,4.6
verb-from-list,selection,4,0.42000000000000004,0.1,0.94,0.52,0.12,0.761904761904762,0.38095238095238104,0.60802,4.8
word-length,algorithmic,1,0.0,0.0,0.7933333333333333,0.0,0.0,,0.0,0.9759599999999999,4.0
word-length,algorithmic,2,0.0,0.0,0.7933333333333333,0.0,0.0,,0.0,0.95798,4.0
word-length,algorithmic,4,0.0,0.0,0.7933333333333333,0.0,0.0,,0.0,0.9233199999999998,3.8
